##########################################################################################################
## Parameters of the Abel deprojection - Glenn van de Ven
# n     nu             k                a0              a1              a2             a3     Max.Rel.Error(%)
##########################################################################################################
 0.50  0.500000000001  1.000000036603 -0.000000000001 -0.000000084279 -0.000000000001 -0.000000000000  0.00000
 0.60  0.477681488650  0.854175367991 -0.035673820376  0.268995675846 -0.090162350351  0.039938711196  0.17568
 0.70  0.448794248781  0.946854975411 -0.048085171238  0.105715136349 -0.068932566600  0.033632768764  0.16713
 0.80  0.398311660654  1.044675047529 -0.043158354778  0.017630174321 -0.049719723330  0.022168379747  0.11766
 0.90  0.258587357746  2.550528695434 -0.018797490722 -0.393826842217 -0.088281588694 -0.007971919498  0.04783
 1.00  0.000000000000  0.000000000000  0.000000000013 -0.000000000009 -0.000000000004  0.000000000003  0.00000
 1.10  0.155023814301  1.590869529379  0.000412103001  0.152112124747 -0.033415166588  0.008992429182  0.07371
 1.20  0.256996778404  1.006708274014  0.000694723538  0.056658043819 -0.039640617360  0.011722479491  0.07741
 1.30  0.308961218947  0.888668659531  0.006398305391  0.009332969867 -0.044563223168  0.011509233058  0.06961
 1.40  0.352456576002  0.837633175587  0.014055339492 -0.027919892149 -0.047753872747  0.010264209158  0.05948
 1.50  0.391199245953  0.810301184140  0.022947666106 -0.058763194811 -0.049842319147  0.008601819593  0.04964
 2.00  0.518226463514  0.761086417114  0.078146186344 -0.167209600885 -0.053818236917 -0.000001099843  0.02943
 2.50  0.536782876856  0.830936896661  0.139943895469 -0.130334002739 -0.035700567870 -0.000000295211  0.02576
 3.00  0.549848657013  0.868632368948  0.192789768668 -0.104556112684 -0.024761184976  0.000000746141  0.01790
 3.50  0.558473014655  0.892330093409  0.237938584636 -0.086183376649 -0.017896587208 -0.000004910444  0.01233
 4.00  0.563956113824  0.909090462666  0.276788252616 -0.072081212268 -0.013336794743  0.000001032505  0.00865
 4.50  0.570541933039  0.920975778880  0.310394260756 -0.061790012755 -0.010283432980 -0.000001264664  0.00587
 5.00  0.579502891497  0.930073194539  0.339742106508 -0.053690809996 -0.008129177334 -0.000000675179  0.00386
 5.50  0.584027006878  0.937356360824  0.365859016594 -0.047154061232 -0.006539589629 -0.000000849419  0.00277
 6.00  0.587655367843  0.943324786536  0.389178139362 -0.041764388819 -0.005345584951 -0.000000320995  0.00203
 6.50  0.595122282068  0.948134335382  0.410031135956 -0.037429871264 -0.004448257604 -0.000000373269  0.00145
 7.00  0.602141100291  0.951930842603  0.428918266456 -0.034084007557 -0.003764864457 -0.000002322601  0.00105
 7.50  0.604690934851  0.955572515449  0.446215662247 -0.030818865383 -0.003193659188 -0.000001323352  0.00082
 8.00  0.611437842700  0.958645758919  0.461957674630 -0.028083322064 -0.002742326744 -0.000000713069  0.00061
 8.50  0.617896535060  0.961075310080  0.476443367105 -0.025990682642 -0.002388185009 -0.000001525922  0.00047
 9.00  0.624439217728  0.963600406043  0.489823723537 -0.023758901869 -0.002076902113 -0.000000393390  0.00036
 9.50  0.630979660678  0.965700986125  0.502232888573 -0.021949096817 -0.001825010260 -0.000000129011  0.00028
10.00  0.636942236978  0.967883592214  0.513791044776 -0.020045248251 -0.001600691539  0.000001066604  0.00022
